Strains,Replicate,N0,r,a11
F.sanfranciscensis,1,0.013790131,0.4209508,-2.05E-07
F.sanfranciscensis,2,4.12E-21,1.287243642,-4.98E-07
F.sanfranciscensis,3,0.998195319,0.35957961,-1.37E-07
L.brevis,1,1.66E-27,3.887183013,-5.21E-07
L.brevis,2,2.45E-05,1.12280171,-1.57E-07
L.brevis,3,4.737126337,0.683022293,-8.99E-08
L.plantarum,1,0.000505941,0.775241621,-2.86E-08
L.plantarum,2,2801.494295,0.246644623,-9.13E-09
L.plantarum,3,4442.264347,0.23051367,-9.18E-09
A.malorum,1,2.759803727,0.346919397,-6.33E-09
A.malorum,2,1.53E-28,1.680805866,-2.48E-08
A.malorum,3,122281.4686,0.122248692,-1.50E-09
C.paralimentarius,1,10.38777154,0.31871938,-2.43E-08
C.paralimentarius,2,9.74E-17,1.252932951,-1.66E-07
C.paralimentarius,3,4836.881565,0.190848284,-1.43E-08
S.cerevisiae,1,83175.1954,0.121889742,-3.06E-08
S.cerevisiae,2,12.38282015,0.626059194,-1.55E-07
S.cerevisiae,3,2.93E-10,1.988303326,-4.11E-07
W.anomalus,1,274079.7042,0.076282131,-7.75E-15
W.anomalus,2,1638397.494,0.041414247,-1.43E-14
W.anomalus,3,39877.6852,0.229075922,-2.38E-08
K.humilis,1,7.69E-14,2.419679514,-6.83E-07
K.humilis,2,5.62E-11,2.076629897,-5.48E-07
K.humilis,3,3.77E-13,2.309712369,-6.09E-07
K.servazzii,1,3117.28012,0.328462763,-9.52E-08
K.servazzii,2,11736.77247,0.278895106,-9.05E-08
K.servazzii,3,5.59E-06,1.489233684,-4.16E-07
F.sanfranciscensis,4,1.86E-19,1.374599596,-2.85E-07
F.sanfranciscensis,5,0.000183424,0.552924993,-7.25E-08
F.sanfranciscensis,6,1.49E-14,0.999553104,-1.18E-07
L.brevis,4,0.018134515,0.839073452,-1.01E-07
L.brevis,5,7.630426459,0.637376165,-9.91E-08
L.brevis,6,2.99E-12,2.275257037,-2.36E-07
L.plantarum,4,68.14754191,0.370065838,-1.33E-08
L.plantarum,5,29.11182248,0.397535251,-2.03E-08
L.plantarum,6,22.39907139,0.373728283,-1.92E-08
A.malorum,4,3.40E-33,1.910414919,-2.04E-08
A.malorum,5,3.52E-32,1.864779691,-1.69E-08
A.malorum,6,1.24E-33,1.928239668,-2.02E-08
C.paralimentarius,4,1637.207433,0.230475667,-2.37E-08
C.paralimentarius,5,610.9462965,0.264662399,-1.93E-08
C.paralimentarius,6,1.37E-13,1.115521604,-7.39E-08
S.cerevisiae,4,834337.8989,0.029461419,-5.10E-11
S.cerevisiae,5,181864.5824,0.115159882,-2.43E-08
S.cerevisiae,6,20257.43725,0.186116653,-4.10E-08
W.anomalus,4,4.62E-09,1.864186021,-1.36E-07
W.anomalus,5,885.7784985,0.426884562,-2.65E-08
W.anomalus,6,4020.066986,0.370586191,-2.61E-08
K.humilis,4,28221.96634,0.170539465,-3.70E-08
K.humilis,5,12372.65114,0.206909566,-5.24E-08
K.humilis,6,59511.51594,0.120343015,-1.57E-08
K.servazzii,4,1.77E-07,1.665231971,-5.37E-07
K.servazzii,5,2.23E-06,1.544084475,-3.70E-07
K.servazzii,6,1.58E-08,1.823198796,-4.84E-07